query_id,question_group,model_key,model_id,arm,representation,retrieved_chunk_ids,context_hash,context_tokens,prompt_hash,provider_requested,provider_actual,raw_answer,normalized_answer,is_correct,finish_reason,empty_output,cut,input_tokens,output_tokens,latency_ms,retry_count,estimated_cost
Q001,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1920;T1500-1803;T1500-1975;T1500-1802;T1500-1976,a71d99ff292fd5ba711d40574659c53d701eb6e8890df4de4b3e49f09b8f3e18,5425,7698c5f34236f9e42229af1f5a4963873ed97ceb1595edcf21a93f5deb17cad7,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5250,205,2763.6907350097317,0,0.00018415
Q002,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1633;T1500-1631;T1500-0129;T1500-1623;T1500-1648,6ad69638608c1143521a4072006bb536ad2ab83eea5a598413452a4b2474752d,4882,51253f9afac7910a352c601fc5913494bf9d494733f703805418ab1328af0d2d,coreweave,CoreWeave,380.000,380.000,1,stop,0,0,4606,278,4178.79293099395,0,0.00017432
Q003,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0735;T1500-0738;T1500-0743;T1500-0742;T1500-0741,ec818444b7c06c18c38563982aa779b4ef870adbb23168e62e11b52fa844fb08,2019,b40d0873ece3f25aa2ce6f68b4e70a30c07b6ec7a0cd966bae3ac3a773fc8d6a,coreweave,CoreWeave,cái,cái,1,stop,0,0,1932,173,2697.1268340130337,0,8.045e-05
Q004,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0113;T1500-1618;T1500-0036;T1500-1611;T1500-1591,2fdbb64b38ecd17d1aff8abbaa260f359b8ac072ffe89cda506da4fd844115c2,5864,943052039f677b37c1ba061873c2d3b2e7d731efac41b00d1bf2a7a3a6b42c0b,coreweave,CoreWeave,QCVN 16:2023/BXD,QCVN 16:2023/BXD,0,stop,0,0,5433,676,6475.511065014871,0,0.00025087
Q005,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1557;T1500-1555;T1500-1550;T1500-1560;T1500-1549,257080a0bec5a10d48243dd19d89162e6031d08d001755bd57a3ae5370d33955,5694,890c322be5baa799e8cc4a44c0462f2e605e567b328799a5ac7a068e67334513,coreweave,CoreWeave,Đ/Lon,Đ/Lon,1,stop,0,0,5522,196,3026.3520419830456,0,0.00019114
Q006,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0297;T1500-0298;T1500-0060;T1500-0017;T1500-1678,c88e1b3b2ba963fac1d4b286c557de17b7a74c873f2a95fa43602b77d2fcfb1f,4589,c52627f8b82d2e45a9574de5c86a07dc1d8c6f8c87a99158ff65b4aafe811d9f,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,4303,122,1892.1577740111388,0,0.00014495
Q007,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1560;T1500-1558;T1500-1557;T1500-0085;T1500-1641,ebf11d0eb08ab31f154264639d93cc161e9c8bd20caa38efd590b542c1e4f373,5328,8270bfe93d8ff8c35033a4a5405f091bce0410f9d17492a843b069a6f5ec07c6,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5157,297,3010.1498019939754,0,0.00019332
Q008,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1625;T1500-1626;T1500-1618;T1500-1546;T1500-1643,c42b14bb8a5ec237f209f6e37868dd67ea880461bc8711657dde0ecec3e9391f,5993,fb6bb5b7ebd57a1f3ea772884786b10a8cccba4ae2b057d9e289953616dc16a7,coreweave,CoreWeave,tại chân công trình,tại chân công trình,1,stop,0,0,5553,328,3719.8402160138357,0,0.00020923
Q009,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1567;T1500-1565;T1500-1611;T1500-1638;T1500-0121,efdb21b69fdd72a3671b107ada36602a7009530eb017d78ef96056895c10fb84,5765,ec21d5c1304237fb9a4a9b0ee8cc52d4468935b38fe3b4a35af75a62b0381ca1,coreweave,CoreWeave,1.485.000,1.485.000,1,stop,0,0,5548,222,3535.711820004508,0,0.0001953
Q010,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0528;T1500-0529;T1500-0534;T1500-0432;T1500-0530,c55325329457948bb5041242b20e8001312cf4c4a2aaeb84c1bf82e7af2d657b,4961,06d87c0d0335d304373f7966aea8cdfce55ede62c2071336d4ba2044fa605daa,coreweave,CoreWeave,QCVN 16:2023/BX D,QCVN 16:2023/BX D,1,stop,0,0,4789,148,6364.470198983327,0,0.00016291
Q011,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1386;T1500-1383;T1500-1384;T1500-1360;T1500-1361,d127142005ded19b574df6a2c92bd59358c258eb4232e2b90eacb060b18e983e,5233,0476cfc084568673a10472ee348f195b8dbaa8770f70854b415066a8c7d8c198,coreweave,CoreWeave,554.545,554.545,1,stop,0,0,5150,1041,9814.485598006286,0,0.00028983
