model_key,comparison,scope,a_correct_b_wrong,a_wrong_b_correct,delta_b_minus_a,p_raw,p_holm
oss20b,T1500_HTML vs T1500_KV,all,27,30,3,0.7913664277791806,1.0
oss20b,T1500_HTML vs T1500_KV,price,19,12,-7,0.28104151505976915,1.0
oss20b,T1500_HTML vs T1500_KV,attribute,8,18,10,0.07551869750022888,0.6796682775020599
oss20b,T1500_HTML vs T1500_VERB,all,41,32,-9,0.3491818381705883,1.0
oss20b,T1500_HTML vs T1500_VERB,price,26,14,-12,0.0806904677519924,0.6796682775020599
oss20b,T1500_HTML vs T1500_VERB,attribute,15,18,3,0.7283324808813632,1.0
oss20b,T1500_KV vs T1500_VERB,all,36,24,-12,0.1550019040032606,1.0
oss20b,T1500_KV vs T1500_VERB,price,19,14,-5,0.48685024166479707,1.0
oss20b,T1500_KV vs T1500_VERB,attribute,17,10,-7,0.24778856337070465,1.0
gemma12b,T1500_HTML vs T1500_KV,all,29,21,-8,0.3222363203575469,1.0
gemma12b,T1500_HTML vs T1500_KV,price,20,14,-6,0.39152830513194203,1.0
gemma12b,T1500_HTML vs T1500_KV,attribute,9,7,-2,0.803619384765625,1.0
gemma12b,T1500_HTML vs T1500_VERB,all,29,24,-5,0.5831321542611763,1.0
gemma12b,T1500_HTML vs T1500_VERB,price,16,14,-2,0.855535551905632,1.0
gemma12b,T1500_HTML vs T1500_VERB,attribute,13,10,-3,0.6776394844055176,1.0
gemma12b,T1500_KV vs T1500_VERB,all,17,20,3,0.7428293587290682,1.0
gemma12b,T1500_KV vs T1500_VERB,price,11,15,4,0.557197093963623,1.0
gemma12b,T1500_KV vs T1500_VERB,attribute,6,5,-1,1.0,1.0
llama31_8b,T1500_HTML vs T1500_KV,all,37,58,21,0.03960823767054589,0.3168659013643671
llama31_8b,T1500_HTML vs T1500_KV,price,20,39,19,0.018337087779101986,0.16503379001191787
llama31_8b,T1500_HTML vs T1500_KV,attribute,17,19,2,0.8679394004284404,1.0
llama31_8b,T1500_HTML vs T1500_VERB,all,45,61,16,0.14478233933005016,0.868694035980301
llama31_8b,T1500_HTML vs T1500_VERB,price,25,41,16,0.06401750413722564,0.44812252896057947
llama31_8b,T1500_HTML vs T1500_VERB,attribute,20,20,0,1.0,1.0
llama31_8b,T1500_KV vs T1500_VERB,all,44,39,-5,0.6608836477612148,1.0
llama31_8b,T1500_KV vs T1500_VERB,price,27,24,-3,0.7797679305530743,1.0
llama31_8b,T1500_KV vs T1500_VERB,attribute,17,15,-2,0.860050065908581,1.0
gemma4b,T1500_HTML vs T1500_KV,all,91,30,-61,2.495730943402904e-08,1.9965847547223233e-07
gemma4b,T1500_HTML vs T1500_KV,price,57,16,-41,1.5256583158538737e-06,9.153949895123242e-06
gemma4b,T1500_HTML vs T1500_KV,attribute,34,14,-20,0.005515201485501109,0.022060805942004436
gemma4b,T1500_HTML vs T1500_VERB,all,89,19,-70,5.131162393795269e-12,4.618046154415742e-11
gemma4b,T1500_HTML vs T1500_VERB,price,48,14,-34,1.7428522601631996e-05,8.714261300815998e-05
gemma4b,T1500_HTML vs T1500_VERB,attribute,41,5,-36,4.405936238072172e-08,3.0841553666505206e-07
gemma4b,T1500_KV vs T1500_VERB,all,51,42,-9,0.40692436804613447,0.783205821094981
gemma4b,T1500_KV vs T1500_VERB,price,21,28,7,0.3916029105474905,0.783205821094981
gemma4b,T1500_KV vs T1500_VERB,attribute,30,14,-16,0.022628841205914796,0.06788652361774439
